pay_item_number_raw,pay_item_number,subitem,suffix,description,unit,valid_values_1,valid_values_2,valid_values_3,source_file
801 (2),801,2,,Removal of Actual Structures/Obstruction,Each,,,,Part C_800.pdf
801 (3),801,3,,a Removal of Actual Structures/Obstruction PCCP Page 1 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part C_800.pdf
801 (3),801,3,,b Removal of Actual Structures/Obstruction ACP,Square Meter,,,,Part C_800.pdf
801 (3),801,3,,c Removal of Actual Structures/Obstruction Sidewalk,Square Meter,,,,Part C_800.pdf
801 (4) a1,801,4,a1,Removal of Actual Structures/Obstruction 610 mm dia. RCPC,Linear Meter,,,,Part C_800.pdf
801 (4) a2,801,4,a2,Removal of Actual Structures/Obstruction 760 mm dia. RCPC,Linear Meter,,,,Part C_800.pdf
801 (4) a3,801,4,a3,Removal of Actual Structures/Obstruction 910 mm dia. RCPC,Linear Meter,,,,Part C_800.pdf
801 (4) a4,801,4,a4,Removal of Actual Structures/Obstruction 1070 mm dia. RCPC,Linear Meter,,,,Part C_800.pdf
801 (4) a5,801,4,a5,Removal of Actual Structures/Obstruction 1220 mm dia. RCPC,Linear Meter,,,,Part C_800.pdf
801 (4) a6,801,4,a6,Removal of Actual Structures/Obstruction 1520 mm dia. RCPC,Linear Meter,,,,Part C_800.pdf
801 (4),801,4,,b Removal of Actual Structures/Obstruction Curb,Linear Meter,,,,Part C_800.pdf
801 (4),801,4,,c Removal of Actual Structures/Obstruction Curb and Gutter,Linear Meter,,,,Part C_800.pdf
801 (5) a1,801,5,a1,Removal of Pipes other than Pipe Culverts 50 mm dia. PVC,Linear Meter,,,,Part C_800.pdf
801 (5) a2,801,5,a2,Removal of Pipes other than Pipe Culverts 75 mm dia. PVC,Linear Meter,,,,Part C_800.pdf
801 (5) a3,801,5,a3,Removal of Pipes other than Pipe Culverts 100 mm dia. PVC,Linear Meter,,,,Part C_800.pdf
801 (5) a4,801,5,a4,Removal of Pipes other than Pipe Culverts 150 mm dia. PVC,Linear Meter,,,,Part C_800.pdf
801 (5) a5,801,5,a5,Removal of Pipes other than Pipe Culverts 200 mm dia. PVC,Linear Meter,,,,Part C_800.pdf
801 (5) a6,801,5,a6,Removal of Pipes other than Pipe Culverts 250 mm dia. PVC,Linear Meter,,,,Part C_800.pdf
801 (5) a7,801,5,a7,Removal of Pipes other than Pipe Culverts 300 mm dia. PVC,Linear Meter,,,,Part C_800.pdf
801 (5) b1,801,5,b1,Removal of Pipes other than Pipe Culverts 150 mm dia. Concrete,Linear Meter,,,,Part C_800.pdf
801 (5) b2,801,5,b2,Removal of Pipes other than Pipe Culverts 200 mm dia. Concrete,Linear Meter,,,,Part C_800.pdf
801 (5) b3,801,5,b3,Removal of Pipes other than Pipe Culverts 250 mm dia. Concrete,Linear Meter,,,,Part C_800.pdf
801 (5) b4,801,5,b4,Removal of Pipes other than Pipe Culverts 300 mm dia. Concrete,Linear Meter,,,,Part C_800.pdf
801 (5) b5,801,5,b5,Removal of Pipes other than Pipe Culverts 350 mm dia. Concrete High Density,Linear Meter,,,,Part C_800.pdf
801 (5) c1,801,5,c1,Removal of Pipes other than Pipe Culverts 50 mm dia Polyethylene HDPE High Density,Linear Meter,,,,Part C_800.pdf
801 (5) c2,801,5,c2,Removal of Pipes other than Pipe Culverts 75 mm dia Polyethylene HDPE High Density,Linear Meter,,,,Part C_800.pdf
801 (5) c3,801,5,c3,Removal of Pipes other than Pipe Culverts 100 mm dia Polyethylene HDPE High Density,Linear Meter,,,,Part C_800.pdf
801 (5) c4,801,5,c4,Removal of Pipes other than Pipe Culverts 150 mm dia Polyethylene HDPE Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS High Density,Linear Meter,,,,Part C_800.pdf
801 (5) c5,801,5,c5,Removal of Pipes other than Pipe Culverts 200 mm dia Polyethylene HDPE High Density,Linear Meter,,,,Part C_800.pdf
801 (5) c6,801,5,c6,Removal of Pipes other than Pipe Culverts 250 mm dia Polyethylene HDPE High Density,Linear Meter,,,,Part C_800.pdf
801 (5) c7,801,5,c7,Removal of Pipes other than Pipe Culverts 300 mm dia Polyethylene HDPE,Linear Meter,,,,Part C_800.pdf
801 (6),801,6,,"Removal of Structures and Obstruction, Concrete",Cubic Meter,,,,Part C_800.pdf
801 (7),801,7,,a Removal of Structures and Obstruction Steel,Kilogram,,,,Part C_800.pdf
801 (7),801,7,,b Removal of Structures and Obstruction Steel H-Piles,Kilogram,,,,Part C_800.pdf
801 (7),801,7,,c Removal of Structures and Obstruction RSB,Kilogram,,,,Part C_800.pdf
801 (8),801,8,,Relocation of Structures,Lump Sum,,,,Part C_800.pdf
801 (9),801,9,,"Removal of Structures and Obstruction (Offshore), Steel",Kilogram,,,,Part C_800.pdf
801 (10),801,10,,"Removal of Structures and Obstruction (Offshore), Concrete",Cubic Meter,,,,Part C_800.pdf
802 (1),802,1,,Unsuitable Excavation,Cubic Meter,,,,Part C_800.pdf
802 (2),802,2,,Surplus Common Excavation,Cubic Meter,,,,Part C_800.pdf
802 (3),802,3,,a Surplus Rock Excavation Soft,Cubic Meter,,,,Part C_800.pdf
802 (3),802,3,,b Surplus Rock Excavation Hard,Cubic Meter,,,,Part C_800.pdf
802 (4),802,4,,Surplus Unclassified Excavation,Cubic Meter,,,,Part C_800.pdf
803 (1),803,1,,a Structure Excavation Common Soil,Cubic Meter,,,,Part C_800.pdf
803 (1),803,1,,b Structure Excavation Soft Rock Page 3 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Cubic Meter,,,,Part C_800.pdf
803 (1),803,1,,c Structure Excavation Hard Rock,Cubic Meter,,,,Part C_800.pdf
803 (2),803,2,,a Building Excavation Common Soil,Cubic Meter,,,,Part C_800.pdf
803 (2),803,2,,b Building Excavation Soft Rock,Cubic Meter,,,,Part C_800.pdf
803 (2),803,2,,c Building Excavation Hard Rock,Cubic Meter,,,,Part C_800.pdf
803 (3),803,3,,Excavation ordered below Plan elevation,Cubic Meter,,,,Part C_800.pdf
803 (4),803,4,,"a Shoring, cribbing and drain excavation Shoring",Lump Sum,,,,Part C_800.pdf
803 (4),803,4,,"b Shoring, cribbing and drain excavation Cribbing/Cofferdamming",Lump Sum,,,,Part C_800.pdf
803 (5),803,5,,a Pipe culverts and drain excavation Common Soil,Cubic Meter,,,,Part C_800.pdf
803 (5),803,5,,b Pipe culverts and drain excavation Soft Rock,Cubic Meter,,,,Part C_800.pdf
803 (5),803,5,,c Pipe culverts and drain excavation Hard Rock,Cubic Meter,,,,Part C_800.pdf
803 (6),803,6,,Trimming Works,Square Meter,,,,Part C_800.pdf
804 (1),804,1,,a Embankment from Roadway/Structure Excavation Common Soil,Cubic Meter,,,,Part C_800.pdf
804 (1),804,1,,b Embankment from Roadway/Structure Excavation Soft Rock,Cubic Meter,,,,Part C_800.pdf
804 (1),804,1,,c Embankment from Roadway/Structure Excavation Hard Rock,Cubic Meter,,,,Part C_800.pdf
804 (2),804,2,,a Embankment from Borrow Common Soil,Cubic Meter,,,,Part C_800.pdf
804 (2),804,2,,b Embankment from Borrow Soft Rock,Cubic Meter,,,,Part C_800.pdf
804 (2),804,2,,c Embankment from Borrow Hard Rock,Cubic Meter,,,,Part C_800.pdf
804 (2),804,2,,d Embankment from Borrow Granular Coarse Material,Cubic Meter,,,,Part C_800.pdf
804 (2),804,2,,e Embankment from Borrow Granular Fine Material,Cubic Meter,,,,Part C_800.pdf
804 (3),804,3,,a Selected Borrow for Topping Case 1,Cubic Meter,,,,Part C_800.pdf
804 (3),804,3,,b Selected Borrow for Topping Case 2,Cubic Meter,,,,Part C_800.pdf
804 (4),804,4,,Earth Berm Page 4 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Cubic Meter,,,,Part C_800.pdf
804 (5),804,5,,Boulder Fill,Cubic Meter,,,,Part C_800.pdf
804 (6),804,6,,"Preload, relocated, and compacted Common Borrow",Cubic Meter,,,,Part C_800.pdf
804 (7),804,7,,Gravel Fill Item 805 – DREDGING,Cubic Meter,,,,Part C_800.pdf
805 (1),805,1,,"Dredging, Soils",Cubic Meter,,,,Part C_800.pdf
805 (2),805,2,,"Dredging, Coral Material Item 806 – RECLAMATION",Cubic Meter,,,,Part C_800.pdf
806 (1),806,1,,Reclamation Item 807 – SITE DEVELOPMENT,Cubic Meter,,,,Part C_800.pdf
807 (1),807,1,,Site Development,Lump Sum,,,,Part C_800.pdf
807 (2),807,2,,Softscape,Lump Sum,,,,Part C_800.pdf
807 (3),807,3,,a Softscape Trees,Each,,,,Part C_800.pdf
807 (3),807,3,,b Softscape Shrubs,Each,,,,Part C_800.pdf
807 (4),807,4,,Softscape Grass,Square Meter,,,,Part C_800.pdf
807 (5),807,5,,Hardscape,Lump Sum,,,,Part C_800.pdf
807 (6),807,6,,a Hardscape Fountains,Each,,,,Part C_800.pdf
807 (6),807,6,,b Hardscape Benches Page 5 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Each,,,,Part C_800.pdf
807 (6),807,6,,c Hardscape Gazebos,Each,,,,Part C_800.pdf
807 (7),807,7,,Garden Soil,Cubic Meter,,,,Part C_800.pdf
807 (8),807,8,,a Aquatic Plants,Each,,,,Part C_800.pdf
807 (8),807,8,,b Aquatic Animals,Each,,,,Part C_800.pdf
807 (9),807,9,,Paver Blocks,Square Meter,,,,Part C_800.pdf
807 (10),807,10,,Curbs,Linear Meter,,,,Part C_800.pdf
807 (11),807,11,,Column Guards,Each,,,,Part C_800.pdf
807 (12),807,12,,Wheel Guards,Each,,,,Part C_800.pdf
807 (13),807,13,,Fence CHB,Square Meter,,,,Part C_800.pdf
807 (14),807,14,,Gate Item 808 - RAMMED AGGREGATE COLUMN,Lump Sum,,,,Part C_800.pdf
808 (1),808,1,,a Rammed Aggregate Column 600 mm dia,Linear Meter,,,,Part C_800.pdf
808 (1),808,1,,b Rammed Aggregate Column 700 mm dia,Linear Meter,,,,Part C_800.pdf
808 (1),808,1,,c Rammed Aggregate Column 800 mm dia,Linear Meter,,,,Part C_800.pdf
808 (2),808,2,,Modulus or Uplift Load Tests,Each,,,,Part C_800.pdf
808 (3),808,3,,a Rammed Aggregate Column Steel Casing 600 mm dia,Linear Meter,,,,Part C_800.pdf
808 (3),808,3,,b Rammed Aggregate Column Steel Casing 700 mm dia,Linear Meter,,,,Part C_800.pdf
808 (3),808,3,,c Rammed Aggregate Column Steel Casing 800 mm dia Page 6,Linear Meter,,,,Part C_800.pdf
A.1.1 (1),A.1.1,1,,Quarters Building for the Engineer Construction of Combined Field Office and Laboratory,Lump Sum,,,,Part A.pdf
A.1.1 (2),A.1.1,2,,Building for the Engineer,Lump Sum,,,,Part A.pdf
A.1.1 (3),A.1.1,3,,Construction of Field Office for the Engineer,Lump Sum,,,,Part A.pdf
A.1.1 (4),A.1.1,4,,Construction of Field Laboratory for the Engineer,Lump Sum,,,,Part A.pdf
A.1.1 (5),A.1.1,5,,"Construction of Living Quarters for the Engineer Provision of Combined Field Office, Laboratory and Living",Lump Sum,,,,Part A.pdf
A.1.1 (6),A.1.1,6,,Quarters Building for the Engineer (Rental Basis) Provision of Combined Field Office and Laboratory Building,Month,,,,Part A.pdf
A.1.1 (7),A.1.1,7,,for the Engineer (Rental Basis),Month,,,,Part A.pdf
A.1.1 (8),A.1.1,8,,Provision of Field Office for the Engineer (Rental Basis),Month,,,,Part A.pdf
A.1.1 (9),A.1.1,9,,Provision of Laboratory for the Engineer (Rental Basis),Month,,,,Part A.pdf
A.1.1 (10),A.1.1,10,,"Provision of Living Quarters for the Engineer (Rental Basis) Provision of Furniture/Fixtures, Equipment & Appliances for",Month,,,,Part A.pdf
A.1.1 (11),A.1.1,11,,"the Field Office for the Engineer Provision of Furniture/Fixtures, Equipment & Appliances for",Lump Sum,,,,Part A.pdf
A.1.1 (12),A.1.1,12,,Laboratory Building for the Engineer Page 1 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS Provision of Furniture/Fixtures & Appliances for the Living,Lump Sum,,,,Part A.pdf
A.1.1 (13),A.1.1,13,,"Quarters for the Engineer Provision of Laboratory Testing Equipment, Apparatus and",Lump Sum,,,,Part A.pdf
A.1.1 (14),A.1.1,14,,"Publications for the Engineer Operation & Maintenance of Temporary Field Office,",Lump Sum,,,,Part A.pdf
A.1.1 (15),A.1.1,15,,Laboratory and Living Quarters Building for the Engineer,Month,,,,Part A.pdf
A.1.1 (16),A.1.1,16,,Operation & Maintenance of Field Office for the Engineer Operation & Maintenance of Laboratory Building for the,Month,,,,Part A.pdf
A.1.1 (17),A.1.1,17,,Engineer,Month,,,,Part A.pdf
A.1.1 (18),A.1.1,18,,Operation & Maintenance of Living Quarters for the Engineer Construction of Combined Field Office and Living Quarters,Month,,,,Part A.pdf
A.1.1 (19),A.1.1,19,,Building for the Engineer Provision of Combined Field Office and Living Quarters,Lump Sum,,,,Part A.pdf
A.1.1 (20),A.1.1,20,,"Building for the Engineer (Rental Basis) Provision of Furniture/Fixtures, Equipment & Appliances for",Month,,,,Part A.pdf
A.1.1 (21),A.1.1,21,,"the Field Office for the Engineer (Rental Basis) Provision of Furniture/Fixtures, Equipment & Appliances for",Month,,,,Part A.pdf
A.1.1 (22),A.1.1,22,,Laboratory Building for the Engineer (Rental Basis) Provision of Furniture/Fixtures & Appliances for the Living,Month,,,,Part A.pdf
A.1.1 (23),A.1.1,23,,"Quarters for the Engineer (Rental Basis) Provision of Laboratory Testing Equipment, Apparatus and",Month,,,,Part A.pdf
A.1.1 (24),A.1.1,24,,Publications for the Engineer (Rental Basis),Month,,,,Part A.pdf
A.1.2 (1),A.1.2,1,,Provision of 4x4 Pickup Type Service Vehicle for the Engineer Provision of 4x4 Pickup Type Service Vehicle for the Engineer,Unit,,,,Part A.pdf
A.1.2 (2),A.1.2,2,,Vehicle on (Rental Basis),Month,,,,Part A.pdf
A.1.2 (3),A.1.2,3,,Provision of 4x2 Pickup Type Service Vehicle for the Engineer Provision of 4x2 Pickup Type Service Vehicle for the Engineer,Unit,,,,Part A.pdf
A.1.2 (4),A.1.2,4,,Vehicle on (Rental Basis) Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS Operation and Maintenance of 4x4 Pickup Type Service,Month,,,,Part A.pdf
A.1.2 (5),A.1.2,5,,Vehicle Vehicle for the Engineer Operation and Maintenance of 4x2 Pickup Type Service,Month,,,,Part A.pdf
A.1.2 (6),A.1.2,6,,Vehicle Vehicle for the Engineer,Month,,,,Part A.pdf
A.1.2 (7),A.1.2,7,,Provision of Passenger Van,Unit,,,,Part A.pdf
A.1.2 (8),A.1.2,8,,Provision of Passenger Van (Rental Basis) Vehicle,Month,,,,Part A.pdf
A.1.2 (9),A.1.2,9,,Operation and Maintenance of Passenger Van Vehicle,Month,,,,Part A.pdf
A.1.2 (10),A.1.2,10,,Provision of Motorized Banca for the Engineer,Unit,,,,Part A.pdf
A.1.2 (11),A.1.2,11,,Provision of Motorized Banca for the Engineer (Rental Basis) Vehicle Operation and Maintenance of Motorized Banca for the,Month,,,,Part A.pdf
A.1.2 (12),A.1.2,12,,Vehicle Engineer,Month,,,,Part A.pdf
A.1.2 (13),A.1.2,13,,Provision of Motorized Boat/Seacraft for the Engineer Provision of Motorized Boat/Seacraft for the Engineer (Rental,Unit,,,,Part A.pdf
A.1.2 (14),A.1.2,14,,Vehicle Basis) Operation and Maintenance of Motorized Boat/Seacraft for,Month,,,,Part A.pdf
A.1.2 (15),A.1.2,15,,Vehicle the Engineer,Month,,,,Part A.pdf
A.1.2 (16),A.1.2,16,,Provision of Mini Bus for the Engineer,Unit,,,,Part A.pdf
A.1.2 (17),A.1.2,17,,Provision of Mini Bus for the Engineer (Rental Basis) Vehicle,Month,,,,Part A.pdf
A.1.2 (18),A.1.2,18,,Operation and Maintenance of Mini Bus for the Engineer Vehicle,Month,,,,Part A.pdf
A.1.2 (19),A.1.2,19,,Provision of Motorcycle for the Engineer,Unit,,,,Part A.pdf
A.1.2 (20),A.1.2,20,,Provision of Motorcycle for the Engineer (Rental Basis) Vehicle Page 3 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Month,,,,Part A.pdf
A.1.2 (21),A.1.2,21,,Operation and Maintenance of Motorcycle for the Engineer Vehicle Provision of Field Office Staff for the Assistance to the,Month,,,,Part A.pdf
A.1.3 (1),A.1.3,1,,Engineer Provision of Survey Equipment for the Assistance to the,Month,,,,Part A.pdf
A.1.3 (2),A.1.3,2,,Engineer Provision of Survey Personnel for the Assistance to the,Lump Sum,,,,Part A.pdf
A.1.3 (3),A.1.3,3,,Engineer Provision of Laboratory Personnel for the Assistance to the,Month,,,,Part A.pdf
A.1.3 (4),A.1.3,4,,Engineer Provision of Survey Equipment for the Assistance to the,Month,,,,Part A.pdf
A.1.3 (5),A.1.3,5,,Engineer (Rental Basis),Month,,,,Part A.pdf
A.1.4 (1),A.1.4,1,,Provision of Progress Photographs,Month,,,,Part A.pdf
A.1.4 (2),A.1.4,2,,Provision of Video Recording Equipment,Set,,,,Part A.pdf
A.1.4 (3),A.1.4,3,,Provision of Progress Videos,Month,,,,Part A.pdf
A.1.4 (4),A.1.4,4,,Provision of Documentary Video Provision of Communication Facility/Equipment for the,Lump Sum,,,,Part A.pdf
A.1.5 (1),A.1.5,1,,Engineer Operation and Maintenance of Communication,Lump Sum,,,,Part A.pdf
A.1.5 (2),A.1.5,2,,Facility/Equipment for the Engineer Provision of Communication Facility/Equipment for the,Month,,,,Part A.pdf
A.1.5 (3),A.1.5,3,,Engineer Page 4,Month,,,,Part A.pdf
1000 (1),1000,1,,Soil Poisoning,Liter,,,,Part E_1000.pdf
1000 (2),1000,2,,Wood Preservative,Liter,,,,Part E_1000.pdf
1000 (3),1000,3,,Powder Termicide,Kilogram,,,,Part E_1000.pdf
1001 (1) a1,1001,1,a1,Pipe and Fittings 50 mm dia. PVC Series 600,Meter,,,,Part E_1000.pdf
1001 (1) a2,1001,1,a2,Pipe and Fittings 75 mm dia. PVC Series 600,Meter,,,,Part E_1000.pdf
1001 (1) a3,1001,1,a3,Pipe and Fittings 100 mm dia. PVC Series 600,Meter,,,,Part E_1000.pdf
1001 (1) a4,1001,1,a4,Pipe and Fittings 150 mm dia. PVC Series 600,Meter,,,,Part E_1000.pdf
1001 (1) b1,1001,1,b1,Pipe and Fittings 50 mm dia. PVC Series 1000,Meter,,,,Part E_1000.pdf
1001 (1) b2,1001,1,b2,Pipe and Fittings 75 mm dia. PVC Series 1000,Meter,,,,Part E_1000.pdf
1001 (1) b3,1001,1,b3,Pipe and Fittings 100 mm dia. PVC Series 1000,Meter,,,,Part E_1000.pdf
1001 (1) b4,1001,1,b4,Pipe and Fittings 150 mm dia. PVC Series 1000,Meter,,,,Part E_1000.pdf
1001 (1) b5,1001,1,b5,Pipe and Fittings 200 mm dia. PVC Series 1000,Meter,,,,Part E_1000.pdf
1001 (1) b6,1001,1,b6,Pipe and Fittings 250 mm dia. PVC Series 1000,Meter,,,,Part E_1000.pdf
1001 (1) b7,1001,1,b7,Pipe and Fittings 300 mm dia. PVC Series 1000,Meter,,,,Part E_1000.pdf
1001 (1) c1,1001,1,c1,Pipe and Fittings 150 mm dia. Concrete,Meter,,,,Part E_1000.pdf
1001 (1) c2,1001,1,c2,Pipe and Fittings 200 mm dia. Concrete Page 1 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part E_1000.pdf
1001 (1) c3,1001,1,c3,Pipe and Fittings 250 mm dia. Concrete,Meter,,,,Part E_1000.pdf
1001 (1) c4,1001,1,c4,Pipe and Fittings 300 mm dia. Concrete,Meter,,,,Part E_1000.pdf
1001 (1) c5,1001,1,c5,Pipe and Fittings 350 mm dia. Concrete High Density,Meter,,,,Part E_1000.pdf
1001 (1) d1,1001,1,d1,Pipe and Fittings 50 mm dia. Polyethylene High Density,Meter,,,,Part E_1000.pdf
1001 (1) d2,1001,1,d2,Pipe and Fittings 75 mm dia. Polyethylene High Density,Meter,,,,Part E_1000.pdf
1001 (1) d3,1001,1,d3,Pipe and Fittings 100 mm dia. Polyethylene High Density,Meter,,,,Part E_1000.pdf
1001 (1) d4,1001,1,d4,Pipe and Fittings 150 mm dia. Polyethylene High Density,Meter,,,,Part E_1000.pdf
1001 (1) d5,1001,1,d5,Pipe and Fittings 200 mm dia. Polyethylene High Density,Meter,,,,Part E_1000.pdf
1001 (1) d6,1001,1,d6,Pipe and Fittings 250 mm dia. Polyethylene High Density,Meter,,,,Part E_1000.pdf
1001 (1) d7,1001,1,d7,Pipe and Fittings 300 mm dia. Polyethylene,Meter,,,,Part E_1000.pdf
1001 (2),1001,2,,Concrete Gutter,Meter,,,,Part E_1000.pdf
1001 (3),1001,3,,Concrete Canal,Meter,,,,Part E_1000.pdf
1001 (4),1001,4,,Wrought Iron Grating,Square Meter,,,,Part E_1000.pdf
1001 (5),1001,5,,a Catch Basin Concrete,Each,,,,Part E_1000.pdf
1001 (5),1001,5,,b Catch Basin CHB,Each,,,,Part E_1000.pdf
1001 (6),1001,6,,Catch Basin,Lump Sum,,,,Part E_1000.pdf
1001 (7),1001,7,,a Junction Box Concrete,Each,,,,Part E_1000.pdf
1001 (7),1001,7,,b Junction Box CHB,Each,,,,Part E_1000.pdf
1001 (8),1001,8,,Sewer Line Works,Lump Sum,,,,Part E_1000.pdf
1001 (9),1001,9,,Storm Drainage and Downspout Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Lump Sum,,,,Part E_1000.pdf
1001 (10),1001,10,,Pipes with Fittings Connection,Lump Sum,,,,Part E_1000.pdf
1001 (11),1001,11,,Septic Vault/Tank Concrete/CHB,Lump Sum,,,,Part E_1000.pdf
1001 (12),1001,12,,Septic Vault/Tank PVC,Lump Sum,,,,Part E_1000.pdf
1001 (13),1001,13,,Septic Vault/Tank PVC,Each,,,,Part E_1000.pdf
1001 (14),1001,14,,Manhole Concrete/CHB,Lump Sum,,,,Part E_1000.pdf
1001 (15),1001,15,,Manhole Concrete/CHB,Each,,,,Part E_1000.pdf
1001 (16) a1,1001,16,a1,Inlets 150 mm dia. Concrete,Meter,,,,Part E_1000.pdf
1001 (16) a2,1001,16,a2,Inlets 200 mm dia. Concrete,Meter,,,,Part E_1000.pdf
1001 (16) a3,1001,16,a3,Inlets 250 mm dia. Concrete,Meter,,,,Part E_1000.pdf
1001 (16) a4,1001,16,a4,Inlets 300 mm dia. Concrete,Meter,,,,Part E_1000.pdf
1001 (16) a5,1001,16,a5,Inlets 350 mm dia. Concrete,Meter,,,,Part E_1000.pdf
1002 (1),1002,1,,a Galvanized Iron Pipes with Fittings 13 mm dia,Meter,,,,Part E_1000.pdf
1002 (1),1002,1,,b Galvanized Iron Pipes with Fittings 25 mm dia,Meter,,,,Part E_1000.pdf
1002 (1),1002,1,,c Galvanized Iron Pipes with Fittings 32 mm dia,Meter,,,,Part E_1000.pdf
1002 (1),1002,1,,d Galvanized Iron Pipes with Fittings 40 mm dia,Meter,,,,Part E_1000.pdf
1002 (1),1002,1,,e Galvanized Iron Pipes with Fittings 50 mm dia,Meter,,,,Part E_1000.pdf
1002 (1),1002,1,,f Galvanized Iron Pipes with Fittings 65 mm dia,Meter,,,,Part E_1000.pdf
1002 (1),1002,1,,g Galvanized Iron Pipes with Fittings 75 mm dia,Meter,,,,Part E_1000.pdf
1002 (1),1002,1,,h Galvanized Iron Pipes with Fittings 100 mm dia,Meter,,,,Part E_1000.pdf
1002 (1),1002,1,,i Galvanized Iron Pipes with Fittings 150 mm dia,Meter,,,,Part E_1000.pdf
1002 (2) a1,1002,2,a1,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 20 mm dia. PN 10,Meter,,,,Part E_1000.pdf
1002 (2) a2,1002,2,a2,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 20 mm dia. PN 16,Meter,,,,Part E_1000.pdf
1002 (2) a3,1002,2,a3,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 20 mm dia. PN 20,Meter,,,,Part E_1000.pdf
1002 (2) b1,1002,2,b1,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 25 mm dia. PN 10 Page 3 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part E_1000.pdf
1002 (2) b2,1002,2,b2,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 25 mm dia. PN 16,Meter,,,,Part E_1000.pdf
1002 (2) b3,1002,2,b3,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 25 mm dia. PN 20,Meter,,,,Part E_1000.pdf
1002 (2) c1,1002,2,c1,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 32 mm dia. PN 10,Meter,,,,Part E_1000.pdf
1002 (2) c2,1002,2,c2,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 32 mm dia. PN 16,Meter,,,,Part E_1000.pdf
1002 (2) c3,1002,2,c3,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 32 mm dia. PN 20,Meter,,,,Part E_1000.pdf
1002 (2) d1,1002,2,d1,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 40 mm dia. PN 10,Meter,,,,Part E_1000.pdf
1002 (2) d2,1002,2,d2,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 40 mm dia. PN 16,Meter,,,,Part E_1000.pdf
1002 (2) d3,1002,2,d3,Polyprophylene Random Copolymer (PPR-C) Pipes with Fittings 40 mm dia. PN 20,Meter,,,,Part E_1000.pdf
