Pay Item,Pay Item (Normalized),Description,Unit,Trade,Category,Division,Part,Item,Sources
"802 (3) a","802 (3)A","Surplus Rock Excavation Soft","Cubic Meter","Earthwork","Excavation","DIVISION I - GENERAL","PART C","ITEM 802 � EXCAVATION","BuildingEstimate, Cost-Estimate"
"802 (3) b","802 (3)B","Surplus Rock Excavation Hard","Cubic Meter","Earthwork","Excavation","DIVISION I - GENERAL","PART C","ITEM 802 � EXCAVATION","BuildingEstimate, Cost-Estimate"
"802 (4)","802 (4)","Surplus Unclassified Excavation","Cubic Meter","Earthwork","Excavation","DIVISION I - GENERAL","PART C","ITEM 802 � EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (1) a","803 (1)A","Structure Excavation Common Soil","Cubic Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (1) b","803 (1)B","Structure Excavation Soft Rock Page 3 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Cubic Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (1) c","803 (1)C","Structure Excavation Hard Rock","Cubic Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (2) a","803 (2)A","Building Excavation Common Soil","Cubic Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (2) b","803 (2)B","Building Excavation Soft Rock","Cubic Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (2) c","803 (2)C","Building Excavation Hard Rock","Cubic Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (3)","803 (3)","Excavation ordered below Plan elevation","Cubic Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (4) a","803 (4)A","Shoring, cribbing and drain excavation Shoring","Lump Sum","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (4) b","803 (4)B","Shoring, cribbing and drain excavation Cribbing/Cofferdamming","Lump Sum","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (5) a","803 (5)A","Pipe culverts and drain excavation Common Soil","Cubic Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (5) b","803 (5)B","Pipe culverts and drain excavation Soft Rock","Cubic Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (5) c","803 (5)C","Pipe culverts and drain excavation Hard Rock","Cubic Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"803 (6)","803 (6)","Trimming Works","Square Meter","Earthwork","Structure Excavation","DIVISION I - GENERAL","PART C","ITEM 803 � STRUCTURE EXCAVATION","BuildingEstimate, Cost-Estimate"
"804 (1) a","804 (1)A","Embankment from Roadway/Structure Excavation Common Soil","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (1) b","804 (1)B","Embankment from Roadway/Structure Excavation Soft Rock","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (1) c","804 (1)C","Embankment from Roadway/Structure Excavation Hard Rock","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (2) a","804 (2)A","Embankment from Borrow Common Soil","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (2) b","804 (2)B","Embankment from Borrow Soft Rock","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (2) c","804 (2)C","Embankment from Borrow Hard Rock","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (2) d","804 (2)D","Embankment from Borrow Granular Coarse Material","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (2) e","804 (2)E","Embankment from Borrow Granular Fine Material","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (3) a","804 (3)A","Selected Borrow for Topping Case 1","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (3) b","804 (3)B","Selected Borrow for Topping Case 2","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (4)","804 (4)","Earth Berm Page 4 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (5)","804 (5)","Boulder Fill","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (6)","804 (6)","Preload, relocated, and compacted Common Borrow","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"804 (7)","804 (7)","Gravel Fill Item 805 – DREDGING","Cubic Meter","Earthwork","Embankment","DIVISION I - GENERAL","PART C","ITEM 804 � EMBANKMENT","BuildingEstimate, Cost-Estimate"
"805 (1)","805 (1)","Dredging, Soils","Cubic Meter","Earthwork","Dredging","DIVISION I - GENERAL","PART C","Item 805 � DREDGING","BuildingEstimate, Cost-Estimate"
"805 (2)","805 (2)","Dredging, Coral Material Item 806 – RECLAMATION","Cubic Meter","Earthwork","Dredging","DIVISION I - GENERAL","PART C","Item 805 � DREDGING","BuildingEstimate, Cost-Estimate"
"806 (1)","806 (1)","Reclamation Item 807 – SITE DEVELOPMENT","Cubic Meter","Earthwork","Reclamation","DIVISION I - GENERAL","PART C","Item 806 � RECLAMATION","BuildingEstimate, Cost-Estimate"
"807 (1)","807 (1)","Site Development","Lump Sum","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (10)","807 (10)","Curbs","Linear Meter","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (11)","807 (11)","Column Guards","Each","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (12)","807 (12)","Wheel Guards","Each","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (13)","807 (13)","Fence CHB","Square Meter","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (14)","807 (14)","Gate Item 808 - RAMMED AGGREGATE COLUMN","Lump Sum","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (2)","807 (2)","Softscape","Lump Sum","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (3) a","807 (3)A","Softscape Trees","Each","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (3) b","807 (3)B","Softscape Shrubs","Each","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (4)","807 (4)","Softscape Grass","Square Meter","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (5)","807 (5)","Hardscape","Lump Sum","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (6) a","807 (6)A","Hardscape Fountains","Each","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (6) b","807 (6)B","Hardscape Benches Page 5 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Each","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (6) c","807 (6)C","Hardscape Gazebos","Each","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (7)","807 (7)","Garden Soil","Cubic Meter","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (8) a","807 (8)A","Aquatic Plants","Each","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (8) b","807 (8)B","Aquatic Animals","Each","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"807 (9)","807 (9)","Paver Blocks","Square Meter","Earthwork","Site Development","DIVISION I - GENERAL","PART C","Item 807 � SITE DEVELOPMENT","BuildingEstimate, Cost-Estimate"
"808 (1) a","808 (1)A","Rammed Aggregate Column 600 mm dia","Linear Meter","Earthwork","Rammed Aggregate Column","DIVISION I - GENERAL","PART C","Item 808 - RAMMED AGGREGATE COLUMN","BuildingEstimate, Cost-Estimate"
"808 (1) b","808 (1)B","Rammed Aggregate Column 700 mm dia","Linear Meter","Earthwork","Rammed Aggregate Column","DIVISION I - GENERAL","PART C","Item 808 - RAMMED AGGREGATE COLUMN","BuildingEstimate, Cost-Estimate"
"808 (1) c","808 (1)C","Rammed Aggregate Column 800 mm dia","Linear Meter","Earthwork","Rammed Aggregate Column","DIVISION I - GENERAL","PART C","Item 808 - RAMMED AGGREGATE COLUMN","BuildingEstimate, Cost-Estimate"
"808 (2)","808 (2)","Modulus or Uplift Load Tests","Each","Earthwork","Rammed Aggregate Column","DIVISION I - GENERAL","PART C","Item 808 - RAMMED AGGREGATE COLUMN","BuildingEstimate, Cost-Estimate"
"808 (3) a","808 (3)A","Rammed Aggregate Column Steel Casing 600 mm dia","Linear Meter","Earthwork","Rammed Aggregate Column","DIVISION I - GENERAL","PART C","Item 808 - RAMMED AGGREGATE COLUMN","BuildingEstimate, Cost-Estimate"
"808 (3) b","808 (3)B","Rammed Aggregate Column Steel Casing 700 mm dia","Linear Meter","Earthwork","Rammed Aggregate Column","DIVISION I - GENERAL","PART C","Item 808 - RAMMED AGGREGATE COLUMN","BuildingEstimate, Cost-Estimate"
"808 (3) c","808 (3)C","Rammed Aggregate Column Steel Casing 800 mm dia Page 6","Linear Meter","Earthwork","Rammed Aggregate Column","DIVISION I - GENERAL","PART C","Item 808 - RAMMED AGGREGATE COLUMN","BuildingEstimate, Cost-Estimate"
"1500 (1)","1500 (1)","Sand Mattress","Cubic Meter","Marine Works","Marine Construction","","","","BuildingEstimate"
"1501 (1)","1501 (1)","Rock Works Class I Rock","Tonne","Marine Works","Marine Construction","","","","BuildingEstimate"
"1501 (2)","1501 (2)","Rock Works Class II Rock","Tonne","Marine Works","Marine Construction","","","","BuildingEstimate"
"1501 (3)","1501 (3)","Rock Works Class III Rock","Tonne","Marine Works","Marine Construction","","","","BuildingEstimate"
"1501 (4)","1501 (4)","Rock Works Class I Rock","Cubic Meter","Marine Works","Marine Construction","","","","BuildingEstimate"
"1501 (5)","1501 (5)","Rock Works Class II Rock","Cubic Meter","Marine Works","Marine Construction","","","","BuildingEstimate"
"1501 (6)","1501 (6)","Rock Works Class III Rock","Cubic Meter","Marine Works","Marine Construction","","","","BuildingEstimate"
"1503 (1)","1503 (1)","Excavation for Waterfront Improvement","Cubic Meter","Marine Works","Marine Construction","","","","BuildingEstimate"
"A.1.1 (1)","A.1.1 (1)","Quarters Building for the Engineer Construction of Combined Field Office and Laboratory","Lump Sum","General Requirements","Engineer Requirements","","","","BuildingEstimate"
"A.1.1 (2)","A.1.1 (2)","Building for the Engineer","Lump Sum","General Requirements","Engineer Requirements","","","","BuildingEstimate"
"A.1.1 (3)","A.1.1 (3)","Construction of Field Office for the Engineer","Lump Sum","General Requirements","Engineer Requirements","","","","BuildingEstimate"
"A.1.1 (4)","A.1.1 (4)","Construction of Field Laboratory for the Engineer","Lump Sum","General Requirements","Engineer Requirements","","","","BuildingEstimate"
